ISSCAAP_Division_Code,ISSCAAP_Division_Desc,ISSCAAP_Group_Code,ISSCAAP_Group_Desc,ERSCode,ScientificName,CG_code,CG_descr,MCS_code,MCS_descr,edible_fraction_note,edible_fraction
2,Diadromous fishes,23,"Salmons, trouts, smelts",CHU,Oncorhynchus keta,2,Salmonids,9,Salmon,Flesh edible fraction,62
1,Freshwater fishes,12,Tilapias and other cichlids,CIX,Cichlidae,1,Freshwater fish,8,Other freshwater fish,Flesh edible fraction,37
5,Molluscs,56,"Clams, cockles, arkshells",CLX,Bivalvia,10,Bivalves and other molluscs and aquatic invertebrates,80,Clam,Meat edible fraction,10.8
2,Diadromous fishes,23,"Salmons, trouts, smelts",COH,Oncorhynchus kisutch,2,Salmonids,9,Salmon,Flesh edible fraction,62
5,Molluscs,57,"Squids, cuttlefishes, octopuses",ITW,Sepietta oweniana,9,Cephalopods,73,Cuttlefish,Meat edible fraction,63
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",FCP,Cyprinus carpio,1,Freshwater fish,1,Carp,Flesh edible fraction,54
5,Molluscs,57,"Squids, cuttlefishes, octopuses",CTC,Sepia officinalis,9,Cephalopods,73,Cuttlefish,Meat edible fraction,63
3,Marine fishes,33,Miscellaneous coastal fishes,DEC,Dentex dentex,7,Other marine fish,51,"Seabream, other",Flesh edible fraction,54
7,Miscellaneous aquatic animals,77,Miscellaneous aquatic invertebrates,AJQ,Aurelia aurita,10,Bivalves and other molluscs and aquatic invertebrates,107,Jellyfish,Skinless fillet edible fraction,NA
5,Molluscs,57,"Squids, cuttlefishes, octopuses",OCC,Octopus vulgaris,9,Cephalopods,74,Octopus,Meat edible fraction,79
5,Molluscs,57,"Squids, cuttlefishes, octopuses",SQC,Loligo spp,9,Cephalopods,75,Squid,Meat edible fraction,67
3,Marine fishes,33,Miscellaneous coastal fishes,DNC,Dentex congoensis,7,Other marine fish,51,"Seabream, other",Flesh edible fraction,54
5,Molluscs,56,"Clams, cockles, arkshells",DKC,Tridacna crocea,10,Bivalves and other molluscs and aquatic invertebrates,80,Clam,Meat edible fraction,10.8
3,Marine fishes,37,Miscellaneous pelagic fishes,HMZ,Trachurus trecae,5,Small pelagics,37,"Horse mackerel, other",Flesh edible fraction,52
5,Molluscs,53,Oysters,OYC,Crassostrea spp,10,Bivalves and other molluscs and aquatic invertebrates,79,Oyster,Meat edible fraction,10
5,Molluscs,57,"Squids, cuttlefishes, octopuses",CTL,"Sepiidae, Sepiolidae",9,Cephalopods,73,Cuttlefish,Meat edible fraction,63
5,Molluscs,57,"Squids, cuttlefishes, octopuses",IAX,Sepia spp,9,Cephalopods,73,Cuttlefish,Meat edible fraction,63
1,Freshwater fishes,11,"Carps, barbels and other cyprinids",FCY,Cyprinidae,1,Freshwater fish,8,Other freshwater fish,Averaged meat and flesh edible fraction,35.75
