ISSCAAP_Division_Code,ISSCAAP_Division_Desc,ISSCAAP_Group_Code,ISSCAAP_Group_Desc,ERSCode,ScientificName,CG_code,CG_descr,MCS_code,MCS_descr,edible_fraction_note,edible_fraction
5,Molluscs,56,"Clams, cockles, arkshells",SOI,Solenidae,10,Bivalves and other molluscs and aquatic invertebrates,80,Clam,Meat edible fraction,10.8
3,Marine fishes,33,Miscellaneous coastal fishes,ONI,Odonus niger,7,Other marine fish,62,Other marine fish,Flesh edible fraction,36
3,Marine fishes,34,Miscellaneous demersal fishes,RSE,Scorpaena scrofa,7,Other marine fish,62,Other marine fish,Flesh edible fraction,45
3,Marine fishes,34,Miscellaneous demersal fishes,CXF,Centroberyx affinis,3,Groundfish,20,Redfish,Flesh edible fraction,45
5,Molluscs,57,"Squids, cuttlefishes, octopuses",UHB,Onykia robusta,9,Cephalopods,75,Squid,Meat edible fraction,67
5,Molluscs,56,"Clams, cockles, arkshells",FAG,Paphia gallus,10,Bivalves and other molluscs and aquatic invertebrates,80,Clam,Meat edible fraction,18
3,Marine fishes,37,Miscellaneous pelagic fishes,RSC,Trachurus lathami,7,Other marine fish,62,Other marine fish,Flesh edible fraction,52
3,Marine fishes,33,Miscellaneous coastal fishes,CNT,Canthidermis maculata,7,Other marine fish,62,Other marine fish,Flesh edible fraction,36
3,Marine fishes,35,"Herrings, sardines, anchovies",SAA,Sardinella aurita,5,Small pelagics,39,Sardine,Flesh edible fraction,65
3,Marine fishes,37,Miscellaneous pelagic fishes,WEC,Decapterus punctatus,7,Other marine fish,62,Other marine fish,Flesh edible fraction,52
3,Marine fishes,32,"Cods, hakes, haddocks",POK,Pollachius virens,3,Groundfish,21,Saithe (=Coalfish),Flesh edible fraction,47
3,Marine fishes,35,"Herrings, sardines, anchovies",SIX,Sardinella spp,5,Small pelagics,39,Sardine,Flesh edible fraction,65
3,Marine fishes,37,Miscellaneous pelagic fishes,SDX,Decapterus spp,7,Other marine fish,62,Other marine fish,Flesh edible fraction,52
5,Molluscs,55,"Scallops, pectens",SCX,Pectinidae,10,Bivalves and other molluscs and aquatic invertebrates,78,Scallop,Meat edible fraction,10.5
5,Molluscs,57,"Squids, cuttlefishes, octopuses",YTT,Berryteuthis magister,9,Cephalopods,75,Squid,Meat edible fraction,67
