Food Code,Food Name,fixed_name,ISSCAAP_Division_Code,ISSCAAP_Division_Desc,ISSCAAP_Group_Code,ISSCAAP_Group_Desc,ERSCode,ScientificName,EnglishName,CG_code,CG_descr,MCS_code,MCS_descr,Approximated
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",JRY,Atlantoraja cyclophora,Eyespot skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",BYY,Bathyraja abyssicola,Deep-sea skate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",BYA,Bathyraja aleutica,Aleutian skate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",BZB,Bathyraja brachyurops,Broadnose skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",BEA,Bathyraja eatonii,Eaton's skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",BYI,Bathyraja interrupta,Sandpaper skate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",BYR,Bathyraja irrasa,Kerguelen sandpaper skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",BYL,Bathyraja lindbergi,Commander skate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",BAM,Bathyraja maccaini,McCain's skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",BZM,Bathyraja macloviana,Patagonian skate,7,Other marine fish,56,Ray,TRUE
