Food Code,Food Name,fixed_name,ISSCAAP_Division_Code,ISSCAAP_Division_Desc,ISSCAAP_Group_Code,ISSCAAP_Group_Desc,ERSCode,ScientificName,EnglishName,CG_code,CG_descr,MCS_code,MCS_descr,Approximated
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,USS,Scarus iserti,Striped parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,USN,Scarus taeniopterus,Princess parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,USW,Scarus persicus,Gulf parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,USZ,Scarus frenatus,Bridled parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,USY,Scarus ghobban,Blue-barred parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UVN,Scarus niger,Dusky parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UVB,Scarus hoefleri,Guinean parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UVD,Scarus psittacus,Common parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UVE,Scarus rubroviolaceus,Ember parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UVG,Scarus russelii,Eclipse parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UVH,Scarus tricolor,Tricolour parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UAW,Scarus arabicus,Arabian parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UBG,Scarus ferrugineus,Rusty parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UBJ,Scarus fuscopurpureus,Purple-brown parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UYS,Scarus caudofasciatus,Redbarred parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UKS,Scarus falcipinnis,Sicklefin parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UKV,Scarus festivus,Festive parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,ULZ,Scarus globiceps,Globehead parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UME,Scarus scaber,Fivesaddle parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UMF,Scarus viridifucatus,Roundhead parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,QUF,Scarus guacamaia,Rainbow parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,MWD,Scarus coelestinus,Midnight parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,LOV,Leptoscarus vaigiensis,Marbled parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,OUR,Cryptotomus roseus,Bluelip parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,HJH,Hipposcarus harid,Candelamoa parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,HJZ,Hipposcarus longiceps,Pacific longnose parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,USR,Cetoscarus bicolor,Bicolour parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,BMK,Bolbometopon muricatum,Green humphead parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,PWT,Scaridae,Parrotfishes nei,7,Other marine fish,62,Other marine fish,TRUE
16-381,Plaice  ,Plaice  ,3,Marine fishes,31,"Flounders, halibuts, soles",NTJ,Acanthopsetta nadeshnyi,Scale-eye plaice,7,Other marine fish,62,Other marine fish,TRUE
16-381,Plaice  ,Plaice  ,3,Marine fishes,31,"Flounders, halibuts, soles",PLE,Pleuronectes platessa,European plaice,4,Flatfish,99,"Plaice, European",TRUE
16-381,Plaice  ,Plaice  ,3,Marine fishes,31,"Flounders, halibuts, soles",ALP,Pleuronectes quadrituberculatus,Alaska plaice,4,Flatfish,30,"Plaice, other",TRUE
16-381,Plaice  ,Plaice  ,3,Marine fishes,31,"Flounders, halibuts, soles",PLA,Hippoglossoides platessoides,Amer. plaice(=Long rough dab),4,Flatfish,30,"Plaice, other",TRUE
16-378,Pollock Alaskan  ,Alaskan pollock,3,Marine fishes,32,"Cods, hakes, haddocks",ALK,Gadus chalcogrammus,Alaska pollock(=Walleye poll.),3,Groundfish,87,Alaska pollock,FALSE
16-124,Pomfret black ,Black pomfret,3,Marine fishes,37,Miscellaneous pelagic fishes,POB,Parastromateus niger,Black pomfret,7,Other marine fish,62,Other marine fish,FALSE
16-125,Pomfret white ,White pomfret,3,Marine fishes,37,Miscellaneous pelagic fishes,SIP,Pampus argenteus,Silver pomfret,7,Other marine fish,62,Other marine fish,TRUE
16-125,Pomfret white ,White pomfret,3,Marine fishes,37,Miscellaneous pelagic fishes,XPO,Pampus spp,Silver pomfrets nei,7,Other marine fish,62,Other marine fish,TRUE
16-387,Pns king ,King prawns,4,Crustaceans,45,"Shrimps, prawns",PNP,Penaeus plebejus,Eastern king prawn,8,Crustaceans,70,"Shrimp, warmwater",TRUE
16-387,Pns king ,King prawns,4,Crustaceans,45,"Shrimps, prawns",WKP,Penaeus latisulcatus,Western king prawn,8,Crustaceans,70,"Shrimp, warmwater",TRUE
16-126,Red snapper  ,Red snapper  ,3,Marine fishes,33,Miscellaneous coastal fishes,RES,Lutjanus argentimaculatus,Mangrove red snapper,7,Other marine fish,62,Other marine fish,TRUE
16-126,Red snapper  ,Red snapper  ,3,Marine fishes,33,Miscellaneous coastal fishes,LUB,Lutjanus sebae,Emperor red snapper,7,Other marine fish,62,Other marine fish,TRUE
16-126,Red snapper  ,Red snapper  ,3,Marine fishes,33,Miscellaneous coastal fishes,LUJ,Lutjanus vitta,Brownstripe red snapper,7,Other marine fish,62,Other marine fish,TRUE
16-126,Red snapper  ,Red snapper  ,3,Marine fishes,33,Miscellaneous coastal fishes,SNC,Lutjanus purpureus,Southern red snapper,7,Other marine fish,62,Other marine fish,TRUE
16-126,Red snapper  ,Red snapper  ,3,Marine fishes,33,Miscellaneous coastal fishes,SNR,Lutjanus campechanus,Northern red snapper,7,Other marine fish,62,Other marine fish,TRUE
16-126,Red snapper  ,Red snapper  ,3,Marine fishes,33,Miscellaneous coastal fishes,LJA,Lutjanus agennes,African red snapper,7,Other marine fish,62,Other marine fish,TRUE
16-126,Red snapper  ,Red snapper  ,3,Marine fishes,33,Miscellaneous coastal fishes,LJB,Lutjanus bohar,Two-spot red snapper,7,Other marine fish,62,Other marine fish,TRUE
16-126,Red snapper  ,Red snapper  ,3,Marine fishes,33,Miscellaneous coastal fishes,LJG,Lutjanus gibbus,Humpback red snapper,7,Other marine fish,62,Other marine fish,TRUE
16-126,Red snapper  ,Red snapper  ,3,Marine fishes,33,Miscellaneous coastal fishes,LWP,Lutjanus peru,Pacific red snapper,7,Other marine fish,62,Other marine fish,TRUE
16-126,Red snapper  ,Red snapper  ,3,Marine fishes,33,Miscellaneous coastal fishes,GVJ,Lutjanus guilcheri,Yellowfin red snapper,7,Other marine fish,62,Other marine fish,TRUE
16-126,Red snapper  ,Red snapper  ,3,Marine fishes,33,Miscellaneous coastal fishes,ETA,Etelis carbunculus,Deep-water red snapper,7,Other marine fish,62,Other marine fish,TRUE
16-126,Red snapper  ,Red snapper  ,3,Marine fishes,33,Miscellaneous coastal fishes,ETC,Etelis coruscans,Deepwater longtail red snapper,7,Other marine fish,62,Other marine fish,TRUE
16-131,Redfish ,Redfish ,3,Marine fishes,34,Miscellaneous demersal fishes,,,,3,Groundfish,20,Redfish,TRUE
16-133,Rock Salmon/Dogfish ,,3,Marine fishes,38,"Sharks, rays, chimaeras",,,,7,Other marine fish,48,Dogfish,TRUE
16-299,Roe cod hard ,REMOVE,,,,,,,,,,,,
16-302,Roe herring soft ,REMOVE,,,,,,,,,,,,
16-132,Rohu ,Rohu,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",LRH,Labeo rohita,Roho labeo,1,Freshwater fish,8,Other freshwater fish,FALSE
16-356,Salmon farmed  ,Salmon,2,Diadromous fishes,23,"Salmons, trouts, smelts",SAL,Salmo salar,Atlantic salmon,2,Salmonids,9,Salmon,TRUE
