ISSCAAP_Division_Code,ISSCAAP_Division_Desc,ISSCAAP_Group_Code,ISSCAAP_Group_Desc,ERSCode,ScientificName,EnglishName,CG_code,CG_descr,MCS_code,MCS_descr,StatsData
3,Marine fishes,33,Miscellaneous coastal fishes,NOC,Notothenia coriiceps,Black rockcod,3,Groundfish,24,Other groundfish,YES
3,Marine fishes,33,Miscellaneous coastal fishes,NYH,Notothenia cyanobrancha,Blue rockcod,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,NXO,Notothenia spp,Notothenia nei,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,NOA,Gobionotothen acuta,Triangular rockcod,3,Groundfish,24,Other groundfish,YES
3,Marine fishes,33,Miscellaneous coastal fishes,NOF,Gobionotothen angustifrons,Narrowhead rockcod,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,NOG,Gobionotothen gibberifrons,Humped rockcod,3,Groundfish,24,Other groundfish,YES
3,Marine fishes,33,Miscellaneous coastal fishes,NYM,Gobionotothen marionensis,Lobe-lip notothen,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,NOS,Lepidonotothen squamifrons,Striped-eyed rockcod,3,Groundfish,24,Other groundfish,YES
3,Marine fishes,33,Miscellaneous coastal fishes,NOZ,Lindbergichthys mizops,Toad notie,7,Other marine fish,62,Other marine fish,YES
3,Marine fishes,33,Miscellaneous coastal fishes,NOD,Lindbergichthys nudifrons,Yellowfin notie,7,Other marine fish,62,Other marine fish,YES
3,Marine fishes,33,Miscellaneous coastal fishes,NOM,Paranotothenia magellanica,Magellanic rockcod,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,NHG,Paranotothenia angustata,Maori chief,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,NHJ,Paranotothenia microlepidota,Black cod,7,Other marine fish,62,Other marine fish,YES
3,Marine fishes,33,Miscellaneous coastal fishes,NHQ,Paranotothenia dewitti,NA,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,NHY,Paranotothenia spp,Paranotothenia nei,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,NOL,Nototheniops larseni,Painted notie,7,Other marine fish,62,Other marine fish,YES
3,Marine fishes,33,Miscellaneous coastal fishes,NNY,Nototheniops nybelini,NA,7,Other marine fish,62,Other marine fish,YES
3,Marine fishes,33,Miscellaneous coastal fishes,TRL,Trematomus eulepidotus,Blunt scalyhead,7,Other marine fish,62,Other marine fish,YES
3,Marine fishes,33,Miscellaneous coastal fishes,ERN,Trematomus bernacchii,Emerald rockcod,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,PTC,Trematomus pennellii,Sharp-spined notothenia,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,TRD,Trematomus lepidorhinus,Slender scalyhead,7,Other marine fish,62,Other marine fish,YES
3,Marine fishes,33,Miscellaneous coastal fishes,TLO,Trematomus loennbergii,Scaly rockcod,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,TRW,Trematomus newnesi,Dusky rockcod,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,TRN,Trematomus nicolai,Spotted notothen,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,TRM,Trematomus scotti,Crowned rockcod,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,TTK,Trematomus tokarevi,Bigeye notothen,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,TMW,Trematomus vicarius,Orange notothen,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,TRH,Trematomus hansoni,Striped rockcod,3,Groundfish,24,Other groundfish,YES
3,Marine fishes,33,Miscellaneous coastal fishes,TRT,Trematomus spp,Trematomus nei,7,Other marine fish,62,Other marine fish,YES
3,Marine fishes,33,Miscellaneous coastal fishes,GTO,Pagothenia borchgrevinki,Bald notothen,3,Groundfish,24,Other groundfish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,PAB,Pagothenia brachysoma,Stocky rockcod,3,Groundfish,24,Other groundfish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,PGT,Pagothenia spp,Pagothenia nei,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,ANS,Pleuragramma antarctica,Antarctic silverfish,7,Other marine fish,62,Other marine fish,YES
3,Marine fishes,33,Miscellaneous coastal fishes,NOX,Nototheniidae,"Antarctic rockcods, noties nei",3,Groundfish,24,Other groundfish,YES
3,Marine fishes,33,Miscellaneous coastal fishes,DEB,Denariusa bandata,Pennyfish,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,GCF,Gymnochanda filamentosa,NA,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,DXP,Paradoxodacna piratica,NA,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,BSY,Parambassis altipinnis,High-finned glass perchlet,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,TMJ,Tetracentrum apogonoides,Four-spined glass perchlet,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,MBG,Ambassis gymnocephalus,Bald glassy,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,MBJ,Ambassis jacksoniensis,NA,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,MBN,Ambassis natalensis,Slender glassy,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,MSE,Ambassis commersoni,NA,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,MBR,Ambassis productus,Longspine glassy,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,HNN,Chanda nama,Elongate glass-perchlet,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,AIB,Ambassidae,Glassfishes,7,Other marine fish,62,Other marine fish,YES
3,Marine fishes,33,Miscellaneous coastal fishes,LLE,Leptobrama muelleri,Beachsalmon,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,BLP,Eleginops maclovinus,Patagonian blennie,7,Other marine fish,62,Other marine fish,YES
3,Marine fishes,33,Miscellaneous coastal fishes,PRC,Percoidei,Percoids nei,7,Other marine fish,62,Other marine fish,YES
3,Marine fishes,33,Miscellaneous coastal fishes,BMF,Bathymaster caeruleofasciatus,Alaskan ronquil,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,RLY,Rathbunella hypoplecta,Stripefin ronquil,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,RQJ,Ronquilus jordani,Northern ronquil,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,AKM,Acantholumpenus mackayi,Pighead prickleback,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,LTU,Alectrias alectrolophus,Stone cockscomb,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,RIU,Alectridium aurantiacum,Lesser prickleback,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,LMH,Allolumpenus hypochromus,Y-prickleback,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,AIR,Anisarchus macrops,NA,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,NPU,Anoplarchus purpurescens,High cockscomb,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,AKV,Askoldia variegata,NA,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,BZJ,Bryozoichthys marjorius,Pearly prickleback,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,CVI,Cebidichthys violaceus,Monkeyface prickleback,7,Other marine fish,62,Other marine fish,YES
3,Marine fishes,33,Miscellaneous coastal fishes,HIN,Chirolophis nugator,Mosshead warbonnet,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,IFW,Chirolophis ascanii,Atlantic warbonnet,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,DCE,Dictyosoma burgeri,NA,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,EGH,Ernogrammus hexagrammus,NA,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,ELW,Eulophias owashii,NA,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,EMR,Eumesogrammus praecisus,Fourline snakeblenny,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,GMI,Gymnoclinus cristulatus,Trident prickleback,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,LMR,Lumpenella longirostris,Longsnout prickleback,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,LMV,Lumpenopsis pavlenkoi,NA,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,LMJ,Lumpenus fabricii,Slender eelblenny,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,FML,Lumpenus lampretaeformis,Snakeblenny,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,NLU,Neolumpenus unocellatus,NA,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,NZN,Neozoarces steindachneri,NA,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,OID,Opisthocentrus dybowskii,NA,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,PIK,Phytichthys chirus,Ribbon prickleback,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,PVD,Plectobranchus evides,Bluebarred prickleback,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,OCR,Poroclinus rothrocki,Whitebarred prickleback,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,SXL,Stichaeopsis epallax,NA,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,TIN,Stichaeopsis nana,NA,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,TIW,Stichaeus grigorjewi,NA,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,UVS,Ulvaria subbifurcata,Radiated shanny,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,XFA,Xiphister atropurpureus,Black prickleback,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,ZOG,Zoarchias glaber,NA,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,QKM,Leptoclinus maculatus,Daubed shanny,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,OFV,Apodichthys flavidus,Penpoint gunnel,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,RYD,Rhodymenichthys dolichogaster,Stippled gunnel,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,UVA,Ulvicola sanctaerosae,Kelp gunnel,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,XPF,Xererpes fucorum,Rockweed gunnel,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,EDN,Enedrias nebulosus,Tidepool gunnel,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,FGN,Pholis gunnellus,Rock gunnel,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,PJG,Ptilichthys goodei,Quillfish,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,ELP,Zoarces viviparus,Eelpout,3,Groundfish,24,Other groundfish,YES
3,Marine fishes,33,Miscellaneous coastal fishes,OPT,Zoarces americanus,Ocean pout,3,Groundfish,24,Other groundfish,YES
3,Marine fishes,33,Miscellaneous coastal fishes,AYZ,Austrolycus depressiceps,NA,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,BIN,Bilabria ornata,NA,3,Groundfish,24,Other groundfish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,CFA,Crossostomus fasciatus,NA,3,Groundfish,24,Other groundfish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,DAJ,Dadyanos insignis,NA,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,GYK,Gymnelopsis brashnikovi,NA,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,HDI,Hadropareia middendorffii,NA,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,ILB,Iluocoetes fimbriatus,NA,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,KRU,Krusensterniella maculata,NA,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,GHE,Gymnelus hemifasciatus,Halfbarred pout,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,MNU,Maynea puncta,NA,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,YTD,Scytalina cerdale,Graveldiver,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,RTL,Cryptacanthodes aleutensis,Dwarf wrymouth,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,RTI,Cryptacanthoides bergi,NA,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,PAS,Ammodytes personatus,Pacific sandlance,7,Other marine fish,62,Other marine fish,YES
3,Marine fishes,33,Miscellaneous coastal fishes,ABZ,Ammodytes tobianus,Small sandeel,3,Groundfish,24,Other groundfish,YES
3,Marine fishes,33,Miscellaneous coastal fishes,AVM,Ammodytes americanus,American sand lance,7,Other marine fish,62,Other marine fish,YES
3,Marine fishes,33,Miscellaneous coastal fishes,BKG,Ammodytes gilli,Gill's sand lance,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,QLH,Ammodytes marinus,Lesser sand-eel,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,SAN,Ammodytes spp,Sandeels(=Sandlances) nei,3,Groundfish,24,Other groundfish,YES
3,Marine fishes,33,Miscellaneous coastal fishes,YTE,Ammodytoides renniei,Scaly sandlance,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,GMP,Gymnammodytes capensis,Cape sandlance,7,Other marine fish,62,Other marine fish,NO
3,Marine fishes,33,Miscellaneous coastal fishes,ZGC,Gymnammodytes cicerelus,Mediterranean sand eel,3,Groundfish,24,Other groundfish,YES
3,Marine fishes,33,Miscellaneous coastal fishes,ZGS,Gymnammodytes semisquamatus,Smooth sandeel,3,Groundfish,24,Other groundfish,YES
