ERSCode,CG_code,CG_descr,MCS_code,MCS_descr,ISSCAAP_Division_Code,ISSCAAP_Division_Desc,ISSCAAP_Group_Code,ISSCAAP_Group_Desc,ScientificName,EnglishName,ProducedInScotland2021
IUN,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Siganus unimaculatus,Blotched foxface,FALSE
IUP,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Siganus uspi,Bicolored foxface,FALSE
IUE,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Siganus vermiculatus,Vermiculated spinefoot,FALSE
IUG,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Siganus virgatus,Barhead spinefoot,FALSE
IUL,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Siganus vulpinus,Foxface,FALSE
SPI,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Siganus spp,Spinefeet(=Rabbitfishes) nei,FALSE
LVM,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Luvarus imperialis,Luvar,FALSE
ZAO,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Zanclus cornutus,Moorish idol,FALSE
FON,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Pholidichthys anguis,NA,FALSE
DAO,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Dactyloscopus crossotus,Bigeye stargazer,FALSE
GIO,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Gillellus arenicola,Sandy stargazer,FALSE
HUJ,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Heteristius cinctus,NA,FALSE
LKA,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Leurochilus acon,Smoothlip stargazer,FALSE
MXB,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Myxodagnus belone,NA,FALSE
PJV,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Platygillellus altivelis,Sailfin stargazer,FALSE
AIT,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Apopterygion alta,Tasselled triplefin,FALSE
AXA,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Axoclinus carminalis,Carmine triplefin,FALSE
BEY,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Bellapiscis lesleyae,Mottled twister,FALSE
BDO,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Blennodon dorsale,Giant triplefin,FALSE
BFA,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Brachynectes fasciatus,Southern barred triplefin,FALSE
EBA,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Ceratobregma acanthops,Spotted spiny-eye triplefin,FALSE
CGJ,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Crocodilichthys gracilis,Lizard triplefin,FALSE
YTJ,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Cryptichthys jojettae,Cryptic triplefin,FALSE
EAV,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Enneanectes altivelis,Lofty triplefin,FALSE
EAB,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Enneapterygius abeli,Yellow triplefin,FALSE
EAZ,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Enneapterygius pusillus,Highcrest triplefin,FALSE
EBO,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Enneapterygius ventermaculus,Blotched triplefin,FALSE
FOH,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Forsterygion bathytaton,Chatham deep-water triplefin,FALSE
GID,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Gilloblennius abditus,Obscure triplefin,FALSE
GBU,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Gracilopterygion bapturum,Japanese blacktail triplefin,FALSE
GHC,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Grahamina capito,Spotted robust triplefin,FALSE
HCQ,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Helcogramma aquilum,NA,FALSE
HGT,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Helcogrammoides antarcticus,NA,FALSE
KAS,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Karalepis stewarti,Scaly headed triplefin,FALSE
LLD,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Lepidoblennius haplodactylus,Eastern jumping blenny,FALSE
LNI,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Lepidonectes bimaculata,Twinspot triplefin,FALSE
NFB,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Norfolkia brachylepis,Tropical scaly-headed triplefi,FALSE
NCE,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Notoclinops caerulepunctus,Blue-dot triplefin,FALSE
OBA,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Obliquichthys maryannae,Oblique-swimming triplefin,FALSE
RND,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Ruanoho decemdigitatus,Longfinned triplefin,FALSE
TBU,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Trianectes bucephalus,Bullhead triplefin,FALSE
TFC,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Trinorfolkia clarkei,Clarke's triplefin,FALSE
TDA,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Tripterygion delaisi,Black-faced blenny,FALSE
UCX,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Ucla xenogrammus,Largemouth triplefin,FALSE
